Datum;Umfrageinstitut;Auftraggeber;Anzahl der Befragten;Methode (nummerisch);Methode;CDU/CSU;SPD;Grüne;FDP;AfD;Die Linke;Sonstige;Summe
2019-05-26;Europawahl;Europa;37.389.231;4;Briefwahl&Wahlurne;0,289;0,158;0,205;0,054;0,11;0,055;0,129;1
2019-05-24;Ipsos;Ipsos;2072;3;Telefon-&Online-Panel;0,27;0,17;0,18;0,06;0,12;0,07;0,13;1
2019-05-23;Forschungsgruppe Wahlen;ZDF;1779;1;Telefon;0,28;0,175;0,185;0,055;0,12;0,065;0,12;1
2019-05-23;INSA;BILD;2875;2;Online-Panel;0,28;0,155;0,18;0,08;0,12;0,07;0,115;1
2019-05-23;Civey;Spiegel;;2;Online-Panel;0,291;0,159;0,181;0,063;0,123;0,072;0,111;1
2019-05-17;Forschungsgruppe Wahlen;ZDF;1313;1;Telefon;0,3;0,17;0,19;0,05;0,12;0,07;0,1;1
2019-05-16;Infratest dimap;ARD;1001;1;Telefon;0,28;0,17;0,17;0,07;0,12;0,07;0,12;1
2019-05-15;INSA;BILD;2044;2;Online-Panel;0,28;0,15;0,18;0,075;0,12;0,08;0,115;1
2019-05-14;Civey;;;2;Online-Panel;0,3;0,17;0,18;0,07;0,11;0,07;0,095;0,995
2019-05-10;Forschungsgruppe Wahlen;ZDF;1357;1;Telefon;0,32;0,16;0,19;0,06;0,12;0,06;0,09;1
2019-05-10;INSA;BILD;2089;2;Online-Panel;0,28;0,15;0,19;0,07;0,13;0,08;0,1;1
2019-05-02;Infratest dimap;ARD;1505;1;Telefon;0,29;0,19;0,19;0,07;0,1;0,07;0,09;1
2019-04-12;Forschungsgruppe Wahlen;ZDF;1282;1;Telefon;0,32;0,18;0,19;0,07;0,1;0,06;0,08;1
2019-04-11;INSA;BILD;4000;2;Online-Panel;0,29;0,16;0,16;0,08;0,12;0,08;0,11;1
2019-04-04;Infratest dimap;ARD;1503;1;Telefon;0,3;0,17;0,19;0,07;0,11;0,07;0,09;1
2019-03-28;Politbarometer;;;0;keine Angabe;0,33;0,18;0,18;0,07;0,1;0,06;0,08;1
2019-03-28;Forschungsgruppe Wahlen;ZDF;1325;1;Telefon;0,33;0,18;0,18;0,07;0,1;0,06;0,08;1
2019-03-15;Forschungsgruppe Wahlen;ZDF;1290;1;Telefon;0,35;0,18;0,18;0,07;0,09;0,06;0,07;1
2019-03-14;Infratest dimap;ARD;1508;1;Telefon;0,32;0,19;0,18;0,06;0,11;0,07;0,07;1
2019-03-07;INSA;BILD;4000;2;Online-Panel;0,29;0,16;0,15;0,095;0,12;0,09;0,095;1
2019-03-03;Sat.1 Bayern (Nur Bayern);;;0;keine Angabe;0,36;0,1;0,18;0,08;0,081;0,04;0,06;0,901
2019-02-22;Forschungsgruppe Wahlen;ZDF;1226;1;Telefon;0,33;0,18;0,19;0,06;0,1;0,08;0,06;1
2019-02-14;Infratest dimap;ARD;1503;1;Telefon;0,33;0,18;0,19;0,07;0,1;0,06;0,07;1
2019-02-01;INSA;BILD;2056;2;Online-Panel;0,3;0,15;0,17;0,08;0,12;0,08;0,1;1
2019-01-14;Forsa;RTL, n-tv;1505;2;Online-Panel;0,35;0,15;0,2;0,08;0,1;0,06;0,06;1
2018-12-12;INSA;BILD;2047;2;Online-Panel;0,3;0,165;0,175;0,09;0,145;0,095;0,03;1
2018-10-25;INSA;renewEU;1260;2;Online-Panel;0,27;0,16;0,2;0,08;0,16;0,1;0,03;1